Id,Nombre
1,Introduccion a la Ingenieria en Computacion
2,Introduccion a la Problematica del Mundo Contemporaneo
3,Algoritmos y Programacion I
4,Algebra I
5,Matematica Discreta
6,Problemas de Historia del Siglo XX
7,Algoritmos y Programacion II
8,Programacion de Bajo Nivel
9,Algebra II
10,Disenio Logico
